Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","1797.08","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","1753.32","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","1376.3","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","1371.11","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","1439.9","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","1561.88","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","1479.71","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","1687.75","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","1890.55","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","1900.83","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","370.85","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","509.6","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","463.51","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","577.06","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","610.33","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","638.08","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","653.17","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","550.28","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","380.08","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","339.02","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","494","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","511.94","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","541.41","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","313.6","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","572.68","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","11.7","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","12.1","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","12.9","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","13.52","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","15.27","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","13.96","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","15.07","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","14.98","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","16.35","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","14.65","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","14.31","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","14.11","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","14.79","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","13.88","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","18.97","consolidated General Government"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","28.8","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","710.12","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","951.75","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","1395.82","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","1675.28","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","1974.91","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","2261.58","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","2077.74","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","1961.85","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","1846.57","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","1782.45","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","877.93","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","1874.46","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","1276.53","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","1153.7","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","1127.19","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","1104.81","consolidated General Government"
