"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Grenada",2017,NA,15562.3,0.99,NA,90,96,92,NA,NA,NA,NA,27,0.1,18.8,0.1,1918,2485,0.28,3.34,NA,NA,NA
"Grenada",2018,NA,16118.8,0.97,NA,NA,NA,NA,NA,NA,NA,NA,27.6,0.1,19,0.1,1916,2483,0.28,3.46,NA,NA,NA
"Grenada",2019,NA,16110.7,0.94,NA,NA,NA,NA,NA,NA,NA,NA,28.3,0.1,19.2,0.1,1916,2484,0.28,3.2,NA,NA,NA
"Grenada",2020,NA,13788.9,1.03,NA,NA,NA,NA,NA,NA,NA,NA,28.9,0.1,NA,NA,1914,2481,0.28,3.21,NA,NA,NA
"Grenada",2021,NA,14325.6,1.04,NA,NA,NA,NA,NA,NA,NA,NA,29.6,0.1,NA,NA,1913,2480,0.26,3.25,NA,NA,NA
"Grenada",2022,NA,15136.3,1.04,NA,NA,NA,NA,NA,NA,NA,NA,30.3,0.1,NA,NA,1911,2478,0.26,3.25,NA,NA,NA
"Guatemala",2017,2605,11285.9,-0.65,23,55,93,68,45.5,0.9,4.7,0.1,23.3,2.3,7.9,0.4,1701,2193,0.33,3.12,NA,14.5,0.1
"Guatemala",2018,2587,11485.1,-0.54,13,55,93,68,45.3,0.9,4.7,0.1,24,2.4,7.6,0.4,1704,2198,0.33,3.12,NA,14.5,0.1
"Guatemala",2019,2636,11761.6,-0.58,18,56,94,68,44.9,0.9,4.7,0.1,24.7,2.5,7.4,0.4,1708,2203,0.33,3.12,NA,14.5,0.1
"Guatemala",2020,2712,11376.6,-0.42,17,56,94,68,44.2,0.9,4.7,0.1,25.4,2.6,NA,NA,1713,2209,0.35,3.12,NA,14.5,0.1
"Guatemala",2021,2744,12106.4,-0.4,26,56,94,69,43.7,0.8,4.8,0.1,26.1,2.8,NA,NA,1718,2216,0.35,3.12,NA,NA,NA
"Guatemala",2022,2791,12424.8,-0.3,30,56,95,70,43.5,0.8,4.8,0.1,26.8,2.9,NA,NA,1723,2223,0.35,3.12,NA,NA,NA
"Guinea",2017,2697,3371.9,-0.7,23,NA,65,25,31.1,0.6,5,0.1,7.4,0.5,49,1.4,1718,2213,0.34,3.62,NA,NA,NA
"Guinea",2018,2755,3496.5,-0.88,24,NA,66,26,30.5,0.6,5.1,0.1,7.8,0.5,48.5,1.5,1716,2211,0.34,3.6,NA,NA,NA
"Guinea",2019,2813,3600.4,-0.84,23,NA,68,28,29.8,0.6,5.2,0.1,8.2,0.5,48,1.5,1720,2216,0.34,3.57,NA,NA,NA
"Guinea",2020,2860,3683.8,-0.67,19,NA,69,29,29.1,0.6,5.3,0.1,8.6,0.6,NA,NA,1723,2220,0.34,3.63,NA,NA,NA
"Guinea",2021,2905,3735.1,-0.94,24,NA,70,30,28.5,0.6,5.4,0.1,9.1,0.6,NA,NA,1726,2225,0.33,3.62,NA,NA,NA
"Guinea",2022,2913,3818.2,-0.86,22,NA,72,31,27.9,0.6,5.6,0.1,9.5,0.7,NA,NA,1730,2230,0.34,3.62,NA,NA,NA
"Guinea-Bissau",2017,2251,2212.7,-0.5,20,23,61,22,28.7,0.1,3,0.1,9.4,0.1,48.5,0.2,1730,2228,0.28,2.8,12,20.4,0.1
"Guinea-Bissau",2018,2152,2188.6,-0.68,62,23,61,24,28.7,0.1,3,0.1,9.8,0.1,48.3,0.2,1730,2228,0.28,2.87,13,20.1,0.1
"Guinea-Bissau",2019,2181,2234.3,-0.56,63,23,61,25,28.5,0.1,3,0.1,10.2,0.1,48.1,0.2,1734,2235,0.31,2.81,14,19.8,0.1
"Guinea-Bissau",2020,2162,2131.6,-0.72,61,24,62,26,28.2,0.1,3.1,0.1,10.6,0.1,NA,NA,1740,2242,0.31,2.82,15,19.5,0.1
"Guinea-Bissau",2021,2167,2164.4,-0.28,47,24,62,28,27.9,0.1,3.2,0.1,11,0.1,NA,NA,1745,2250,0.31,2.81,15,NA,NA
"Guinea-Bissau",2022,2166,2192.4,-0.39,35,24,62,28,27.7,0.1,3.3,0.1,11.5,0.1,NA,NA,1749,2256,0.31,2.81,15,NA,NA
"Guyana",2017,3079,12889.3,-0.05,99,NA,94,88,10.3,0.1,6.3,0.1,24.9,0.1,32,0.1,1792,2314,0.25,4.17,47,17.1,0.1
"Guyana",2018,3131,13080.2,-0.19,97,NA,95,88,9.7,0.1,6.2,0.1,25.5,0.1,31.8,0.1,1799,2324,0.25,4.38,46,17.2,0.1
"Guyana",2019,3107,13552,-0.25,62,NA,95,89,9.1,0.1,6.1,0.1,26.2,0.1,31.7,0.1,1802,2328,0.25,4.29,46,17.2,0.1
"Guyana",2020,3151,19482.1,-0.14,44,NA,95,90,8.5,0.1,6,0.1,27,0.1,NA,NA,1796,2319,0.25,4.33,45,17.2,0.1
"Guyana",2021,3194,23176.1,-0.14,57,NA,96,90,8,0.1,5.8,0.1,27.7,0.1,NA,NA,1795,2317,0.25,4.29,45,NA,NA
"Guyana",2022,3299,37667.8,0.03,72,NA,96,91,7.6,0.1,5.7,0.1,28.5,0.2,NA,NA,1796,2318,0.25,4.29,44,NA,NA
"Haiti",2017,2175,3459.7,-0.68,30,NA,66,35,21.4,0.3,3.5,0.1,9.4,0.6,47.5,1.4,1811,2343,0.37,2.71,NA,NA,NA
"Haiti",2018,2130,3469.9,-0.64,25,NA,66,36,21.1,0.3,3.6,0.1,9.6,0.6,47.6,1.4,1813,2345,0.37,2.77,NA,NA,NA
"Haiti",2019,2114,3364.8,-0.89,31,NA,66,37,20.7,0.3,3.6,0.1,9.9,0.7,47.7,1.4,1815,2348,0.37,2.59,NA,NA,NA
"Haiti",2020,2099,3211.5,-1.03,28,NA,67,37,20.3,0.3,3.6,0.1,10.1,0.7,NA,NA,1817,2351,0.4,2.61,NA,NA,NA
"Haiti",2021,2076,3115,-1.13,13,NA,67,37,19.9,0.3,3.7,0.1,10.4,0.7,NA,NA,1820,2354,0.4,2.69,NA,NA,NA
"Haiti",2022,1978,3026.2,-1.41,14,NA,67,38,19.5,0.2,3.7,0.1,10.7,0.8,NA,NA,1822,2356,0.4,2.69,NA,NA,NA
"Honduras",2017,2603,6145.5,-0.57,46,63,94,80,19.8,0.2,5,0.1,26.1,1.5,17.3,0.4,1771,2289,0.3,2.06,51,12.9,0.1
"Honduras",2018,2626,6273.6,-0.53,31,64,94,81,19.4,0.2,5,0.1,26.7,1.6,17.6,0.5,1775,2294,0.3,2.06,52,13,0.1
"Honduras",2019,2633,6332.7,-0.57,9,64,95,82,18.9,0.2,4.9,0.1,27.4,1.7,18,0.5,1778,2299,0.3,2.02,52,13,0.1
"Honduras",2020,2618,5672.2,-0.45,8,64,95,83,18.4,0.2,4.9,0.1,28.1,1.8,NA,NA,1781,2304,0.32,1.97,52,13.1,0.1
"Honduras",2021,2665,6285.9,-0.63,10,65,95,84,17.9,0.2,4.8,0.1,28.8,1.9,NA,NA,1784,2307,0.37,2.02,52,NA,NA
"Honduras",2022,2655,6440.4,-0.55,18,65,96,84,17.5,0.2,4.7,0.1,29.5,2,NA,NA,1787,2311,0.39,2.02,53,NA,NA
"Hungary",2017,3232,33940.3,0.8,75,95,99,98,NA,NA,NA,NA,28.3,2.3,19.4,0.4,1945,2527,0.21,1.73,87,8.4,0.1
"Hungary",2018,3291,35805.6,0.74,71,96,99,98,NA,NA,NA,NA,29,2.3,19.5,0.4,1945,2527,0.2,1.73,88,8.3,0.1
"Hungary",2019,3309,37564.3,0.76,59,98,99,98,NA,NA,NA,NA,29.6,2.4,19.7,0.4,1945,2527,0.2,1.79,88,8.3,0.1
"Hungary",2020,3368,35937.8,0.84,26,99,99,98,NA,NA,NA,NA,30.3,2.4,NA,NA,1945,2527,0.21,1.67,88,8.3,0.1
"Hungary",2021,3421,38643.8,0.8,25,99,99,98,NA,NA,NA,NA,31,2.5,NA,NA,1945,2526,0.22,1.72,88,NA,NA
"Hungary",2022,3352,40683.9,0.64,20,99,99,98,NA,NA,NA,NA,31.7,2.6,NA,NA,1947,2530,0.22,1.72,88,NA,NA
"Iceland",2017,3607,64377,1.34,59,99,99,99,NA,NA,NA,NA,19.9,0.1,9.9,0.1,1959,2550,0.2,2.28,NA,3.9,0.1
"Iceland",2018,3620,65740.1,1.39,78,99,99,99,NA,NA,NA,NA,20.1,0.1,10.1,0.1,1964,2557,0.2,2.26,NA,3.9,0.1
"Iceland",2019,3657,65507.2,1.62,69,99,99,99,NA,NA,NA,NA,20.4,0.1,10.3,0.1,1967,2561,0.2,2.27,NA,4,0.1
"Iceland",2020,3634,59801.9,1.37,44,99,99,99,NA,NA,NA,NA,20.7,0.1,NA,NA,1966,2561,0.2,2.22,NA,4,0.1
"Iceland",2021,3612,61481.4,1.37,30,99,99,99,NA,NA,NA,NA,20.9,0.1,NA,NA,1966,2561,0.2,2.22,NA,NA,NA
"Iceland",2022,3703,64294.7,1.26,60,99,99,99,NA,NA,NA,NA,21.2,0.1,NA,NA,1967,2563,0.2,2.22,NA,NA,NA
"India",2017,2524,7363.8,-0.77,18,NA,90,64,36.3,43.8,2.3,2.8,5.5,49.9,52.8,182.3,1788,2312,0.23,2.85,42,28.1,6.8
"India",2018,2536,7754.3,-1,20,NA,91,67,35.4,42.1,2.4,2.8,5.8,53.9,52.9,184.8,1791,2316,0.23,2.86,44,27.8,6.7
"India",2019,2539,7972.3,-0.8,21,NA,92,70,34.4,40.6,2.4,2.9,6.2,58,53,187.3,1794,2320,0.24,2.92,46,27.6,6.5
"India",2020,2552,7436.1,-0.84,20,NA,92,73,33.5,39.1,2.5,3,6.5,62.3,NA,NA,1797,2325,0.27,3.01,48,27.4,6.3
"India",2021,2562,8044.7,-0.69,12,NA,93,76,32.5,37.5,2.7,3.1,6.9,66.8,NA,NA,1800,2329,0.27,2.99,50,NA,NA
"India",2022,2589,8568.6,-0.57,15,NA,93,78,31.7,36.1,2.8,3.2,7.3,71.4,NA,NA,1803,2333,0.27,2.99,52,NA,NA
"Indonesia",2017,2962,11899.3,-0.5,29,29,90,78,32.7,7.7,11.8,2.8,8.3,15,29.6,20.9,1785,2303,0.28,3.25,NA,10.1,0.5
"Indonesia",2018,2918,12394.6,-0.55,47,29,91,80,32.5,7.5,11.9,2.7,8.8,16.2,30.4,21.6,1787,2305,0.28,3.16,NA,10,0.5
"Indonesia",2019,2907,12895.3,-0.5,42,29,92,82,32.2,7.4,11.8,2.7,9.4,17.5,31.2,22.4,1789,2308,0.28,3.17,NA,10,0.5
"Indonesia",2020,2911,12523.2,-0.46,43,30,93,84,31.9,7.2,11.6,2.6,10,18.8,NA,NA,1791,2311,0.28,3.16,NA,9.9,0.4
"Indonesia",2021,2900,12897.1,-0.53,33,30,93,87,31.4,7,11.2,2.5,10.6,20.2,NA,NA,1793,2314,0.28,3.16,NA,NA,NA
"Indonesia",2022,2830,13495.5,-0.44,35,30,94,88,31,6.9,10.6,2.4,11.2,21.6,NA,NA,1794,2316,0.28,3.16,NA,NA,NA
"Iran (Islamic Republic of)",2017,2876,15201.4,-0.93,26,94,97,89,5.3,0.4,3.9,0.3,22.2,13.5,23.4,5.4,1840,2377,0.27,3.07,NA,NA,NA
"Iran (Islamic Republic of)",2018,2845,14728.1,-1.34,30,94,97,90,5.2,0.4,3.8,0.3,22.7,14,23.7,5.4,1838,2374,0.27,3.09,NA,NA,NA
"Iran (Islamic Republic of)",2019,2918,14119.7,-1.71,42,94,97,90,5.1,0.4,3.8,0.3,23.1,14.4,24.1,5.5,1839,2374,0.27,3.05,NA,NA,NA
"Iran (Islamic Republic of)",2020,2919,14468.6,-1.7,37,94,97,90,4.9,0.4,3.8,0.3,23.5,14.8,NA,NA,1841,2376,0.27,3,NA,NA,NA
"Iran (Islamic Republic of)",2021,2883,15042.4,-1.58,39,94,98,90,4.8,0.3,3.8,0.3,23.9,15.2,NA,NA,1844,2379,0.25,2.93,NA,NA,NA
"Iran (Islamic Republic of)",2022,2879,15499.9,-1.59,36,94,98,90,4.7,0.3,3.8,0.2,24.3,15.6,NA,NA,1847,2383,0.26,2.93,NA,NA,NA
"Iraq",2017,2604,14166.5,-2.3,24,58,96,96,14,0.8,7.8,0.4,37.6,8.1,28.4,2.7,1755,2259,0.33,2.72,46,10.9,0.1
"Iraq",2018,2635,14192.3,-2.52,20,59,97,97,13.1,0.8,7.4,0.4,38.2,8.4,28.4,2.7,1760,2266,0.34,2.77,48,10.9,0.1
"Iraq",2019,2660,14624.3,-2.61,13,59,98,98,12.2,0.7,7.2,0.4,38.8,8.8,28.6,2.8,1765,2273,0.34,2.73,50,10.9,0.1
"Iraq",2020,2674,12563.7,-2.47,19,60,98,98,11.3,0.6,6.9,0.4,39.3,9.3,NA,NA,1769,2279,0.34,2.8,51,10.9,0.1
"Iraq",2021,2668,12476.4,-2.38,22,60,98,98,10.5,0.6,6.7,0.4,39.9,9.7,NA,NA,1774,2286,0.33,2.63,52,NA,NA
"Iraq",2022,2685,13062,-2.47,19,60,98,98,9.9,0.6,6.4,0.4,40.5,10.1,NA,NA,1778,2292,0.35,2.63,53,NA,NA
"Ireland",2017,3906,85225.2,0.99,53,96,96,89,NA,NA,NA,NA,26.6,1,11.6,0.1,1911,2475,0.2,1.96,79,5.5,0.1
"Ireland",2018,3936,91305.9,1.01,69,96,96,89,NA,NA,NA,NA,27,1,11.8,0.1,1913,2479,0.2,1.93,79,5.6,0.1
"Ireland",2019,3908,94837.1,0.96,59,96,96,89,NA,NA,NA,NA,27.3,1,12.1,0.1,1915,2483,0.2,1.94,79,5.6,0.1
"Ireland",2020,3888,100077,0.97,39,96,96,89,NA,NA,NA,NA,27.6,1,NA,NA,1917,2486,0.21,1.86,80,5.6,0.1
"Ireland",2021,3861,114121,0.84,43,96,96,89,NA,NA,NA,NA,28,1.1,NA,NA,1919,2489,0.19,1.8,80,NA,NA
"Ireland",2022,3855,122596,0.88,67,96,96,89,NA,NA,NA,NA,28.3,1.1,NA,NA,1921,2493,0.19,1.8,80,NA,NA
"Israel",2017,3602,42936.4,-0.89,35,99,99,99,NA,NA,NA,NA,22.1,1.2,12.3,0.2,1779,2297,0.2,2.21,92,9.1,0.1
"Israel",2018,3615,43831.4,-0.92,35,99,99,99,NA,NA,NA,NA,22.2,1.3,12.6,0.2,1779,2298,0.2,2.24,93,9.1,0.1
"Israel",2019,3644,44789.9,-0.82,32,99,99,99,NA,NA,NA,NA,22.2,1.3,12.9,0.3,1780,2298,0.21,2.22,94,9,0.1
"Israel",2020,3684,43189.5,-0.89,19,99,99,99,NA,NA,NA,NA,22.3,1.3,NA,NA,1780,2298,0.21,2.19,95,9,0.1
"Israel",2021,3701,46126.6,-1.12,26,99,99,99,NA,NA,NA,NA,22.4,1.3,NA,NA,1781,2300,0.21,2.23,96,NA,NA
"Israel",2022,3717,48318.9,-1.29,16,99,99,99,NA,NA,NA,NA,22.5,1.4,NA,NA,1783,2303,0.22,2.23,96,NA,NA
"Italy",2017,3552,48761.9,0.29,62,94,99,99,NA,NA,NA,NA,16.6,8.3,13,1.7,1943,2523,0.2,2.06,79,7.2,0.1
"Italy",2018,3549,49307,0.33,52,94,99,99,NA,NA,NA,NA,16.7,8.4,13.3,1.7,1944,2526,0.2,2.06,79,7.2,0.1
"Italy",2019,3648,50119.8,0.38,7,93,99,99,NA,NA,NA,NA,16.9,8.5,13.6,1.7,1945,2527,0.2,1.92,79,7.2,0.1
"Italy",2020,3688,45844.7,0.4,30,93,99,99,NA,NA,NA,NA,17,8.5,NA,NA,1946,2528,0.2,1.87,79,7.2,0.1
"Italy",2021,3733,49912.8,0.55,40,93,99,99,NA,NA,NA,NA,17.1,8.6,NA,NA,1946,2530,0.2,1.9,79,NA,NA
"Italy",2022,3768,51941.2,0.41,44,93,99,99,NA,NA,NA,NA,17.3,8.6,NA,NA,1946,2530,0.2,1.9,79,NA,NA
"Jamaica",2017,2858,9990.6,0.3,27,NA,91,86,6.5,0.1,6.4,0.1,30,0.6,19.5,0.2,1914,2489,0.24,2.79,NA,14,0.1
"Jamaica",2018,2889,10166.9,0.42,29,NA,91,86,6.5,0.1,6.3,0.1,30.7,0.6,19.6,0.2,1918,2494,0.23,2.86,NA,13.9,0.1
"Jamaica",2019,2916,10250.6,0.39,31,NA,91,87,6.5,0.1,6.1,0.1,31.5,0.7,19.9,0.2,1922,2499,0.23,2.85,NA,13.8,0.1
"Jamaica",2020,2840,9211.8,0.26,35,NA,91,87,6.5,0.1,6,0.1,32.3,0.7,NA,NA,1926,2504,0.24,2.87,NA,13.7,0.1
"Jamaica",2021,2871,9611,0.22,45,NA,91,87,6.5,0.1,5.8,0.1,33,0.7,NA,NA,1929,2508,0.24,2.99,NA,NA,NA
"Jamaica",2022,2928,10114,0.38,43,NA,91,87,6.5,0.1,5.7,0.1,33.8,0.7,NA,NA,1931,2510,0.25,2.99,NA,NA,NA
"Japan",2017,2693,44491.1,1.1,8,98,99,99,5.7,0.3,1.9,0.1,4.6,4.9,19.1,4.9,1866,2418,0.17,2.11,99,11.2,0.1
"Japan",2018,2663,44834.2,1.04,10,98,99,99,5.5,0.3,1.9,0.1,4.8,5.1,19,4.9,1866,2419,0.17,2.13,99,11.2,0.1
"Japan",2019,2723,44716.7,1.02,11,99,99,99,5.4,0.2,1.9,0.1,4.9,5.3,19,4.8,1867,2420,0.17,2.11,99,11.3,0.1
"Japan",2020,2665,42988.5,1.03,25,99,99,99,5.2,0.2,2,0.1,5.1,5.5,NA,NA,1868,2422,0.17,2.12,99,11.3,0.1
"Japan",2021,2665,44292,1.02,26,99,99,99,5.1,0.2,2,0.1,5.3,5.7,NA,NA,1869,2423,0.18,2.13,99,NA,NA
"Japan",2022,2682,44913.8,1.07,27,99,99,99,5,0.2,2.1,0.1,5.5,5.9,NA,NA,1869,2424,0.17,2.13,99,NA,NA
"Jordan",2017,2724,9357,-0.43,13,79,99,97,7.4,0.1,6.8,0.1,37.7,2.3,35.6,0.9,1811,2339,0.26,2.49,82,18.1,0.1
"Jordan",2018,2642,9313.7,-0.38,17,81,99,97,7.3,0.1,7.2,0.1,37.8,2.4,36.6,1,1815,2345,0.26,2.51,82,18.4,0.1
"Jordan",2019,2587,9265.3,-0.27,37,84,99,97,7.2,0.1,7.6,0.1,38,2.5,37.7,1,1818,2350,0.26,2.39,82,18.7,0.1
"Jordan",2020,2581,8970.2,-0.27,46,86,99,97,7.1,0.1,8.1,0.1,38.2,2.6,NA,NA,1822,2355,0.29,2.48,82,18.9,0.1
"Jordan",2021,2534,9115,-0.32,37,86,99,97,6.8,0.1,8.7,0.1,38.3,2.6,NA,NA,1826,2361,0.3,2.68,82,NA,NA
"Jordan",2022,2557,9222.5,-0.3,26,86,99,97,6.6,0.1,9.5,0.1,38.5,2.7,NA,NA,1829,2366,0.29,2.68,82,NA,NA
"Kazakhstan",2017,3252,32597.8,0.02,51,89,95,98,7.4,0.1,9.4,0.2,17.2,2.1,28.2,1.3,1827,2358,0.25,2.39,NA,5.4,0.1
"Kazakhstan",2018,3350,33491.1,-0.05,44,89,95,98,6.8,0.1,8.9,0.2,17.4,2.2,28.4,1.3,1825,2354,0.25,2.39,NA,5.4,0.1
"Kazakhstan",2019,3371,34549.8,-0.17,56,89,95,98,6.3,0.1,8.5,0.2,17.6,2.2,28.7,1.3,1822,2351,0.25,2.42,NA,5.3,0.1
"Kazakhstan",2020,3383,33251.4,-0.26,69,89,95,98,5.8,0.1,8.2,0.2,17.9,2.3,NA,NA,1819,2347,0.25,2.49,NA,5.3,0.1
"Kazakhstan",2021,3366,34233.5,-0.23,66,89,95,98,5.4,0.1,7.9,0.2,18.1,2.3,NA,NA,1816,2343,0.25,2.43,NA,NA,NA
"Kazakhstan",2022,3353,34210.9,-0.36,35,NA,NA,98,4.9,0.1,7.7,0.2,18.4,2.4,NA,NA,1815,2342,0.25,2.43,NA,NA,NA
"Kenya",2017,2204,4871.6,-1.13,34,NA,60,34,23,1.6,4,0.3,10.1,2.6,28.2,3.6,1733,2233,0.25,3.39,30,10.3,0.2
"Kenya",2018,2238,5043.2,-1.18,37,NA,60,35,22,1.5,3.9,0.3,10.5,2.8,28.4,3.8,1738,2240,0.26,3.43,30,10.2,0.1
"Kenya",2019,2301,5197.2,-1.11,32,NA,61,35,21.1,1.4,3.8,0.3,10.9,3,28.7,3.9,1743,2247,0.26,3.47,31,10.1,0.1
"Kenya",2020,2263,5079.9,-1.01,51,NA,62,36,20.1,1.4,3.8,0.3,11.4,3.2,NA,NA,1747,2254,0.29,3.44,31,10,0.1
"Kenya",2021,2172,5360.4,-1.03,57,NA,62,36,19.2,1.3,3.8,0.3,11.9,3.5,NA,NA,1752,2261,0.29,3.48,31,NA,NA
"Kenya",2022,2100,5513.9,-0.94,47,NA,63,36,18.4,1.3,3.8,0.3,12.4,3.7,NA,NA,1756,2267,0.3,3.48,32,NA,NA
"Kiribati",2017,3067,2174.7,0.86,16,13,73,43,15.4,0.1,1.9,0.1,44.7,0.1,32.3,0.1,1694,2169,0.29,2.25,24,9,0.1
"Kiribati",2018,3092,2250.4,1,30,14,73,44,15.3,0.1,1.9,0.1,45,0.1,32.4,0.1,1689,2160,0.29,2.23,24,9,0.1
"Kiribati",2019,3125,2166.7,1.12,34,14,74,44,15,0.1,1.9,0.1,45.3,0.1,32.6,0.1,1751,2237,0.29,2.17,24,9,0.1
"Kiribati",2020,3083,2093.3,1.16,32,14,74,44,14.8,0.1,1.9,0.1,45.7,0.1,NA,NA,1749,2233,0.29,2.23,24,9,0.1
"Kiribati",2021,3097,2215.7,1.14,25,14,75,44,14.5,0.1,1.9,0.1,46,0.1,NA,NA,1748,2233,0.29,2.25,24,NA,NA
"Kiribati",2022,3139,2209.9,1.12,19,14,76,45,14.2,0.1,2,0.1,46.3,0.1,NA,NA,1746,2232,0.29,2.25,25,NA,NA
"Kuwait",2017,3445,52805.3,-0.05,26,99,99,99,5.9,0.1,10,0.1,41,1.3,23.1,0.2,1914,2478,0.26,3.4,99,13.7,0.1
"Kuwait",2018,3432,51681.5,0.09,20,99,99,99,6.1,0.1,10.3,0.1,41,1.3,23.4,0.2,1919,2485,0.26,3.32,99,13.9,0.1
"Kuwait",2019,3470,49962.2,0.18,21,99,99,99,6.3,0.1,10.6,0.1,41.1,1.4,23.7,0.2,1921,2488,0.26,3.82,99,14.1,0.1
"Kuwait",2020,3482,46380.2,0.23,25,99,99,99,6.5,0.1,10.9,0.1,41.2,1.4,NA,NA,1917,2482,0.26,3.8,99,14.4,0.1
"Kuwait",2021,3506,48130,0.26,30,99,99,99,6.7,0.1,11.3,0.1,41.3,1.3,NA,NA,1914,2478,0.26,3.65,99,NA,NA
"Kuwait",2022,3508,52164.4,0.28,32,99,99,99,6.9,0.1,11.7,0.1,41.4,1.3,NA,NA,1916,2481,0.25,3.65,99,NA,NA
"Kyrgyzstan",2017,2729,5963.8,-0.36,29,70,89,98,12.4,0.1,6.4,0.1,23.4,0.9,35.2,0.6,1797,2319,0.23,2.55,92,6.2,0.1
"Kyrgyzstan",2018,2766,6066,-0.53,24,72,89,98,11.9,0.1,6.2,0.1,24,0.9,35.5,0.6,1795,2315,0.23,2.55,92,6.1,0.1
"Kyrgyzstan",2019,2763,6214,-0.27,33,74,90,98,11.5,0.1,6.1,0.1,24.7,1,35.8,0.6,1794,2312,0.23,2.66,92,6.1,0.1
"Kyrgyzstan",2020,2733,5661.3,-0.46,39,76,91,98,11.1,0.1,6.1,0.1,25.3,1,NA,NA,1793,2311,0.23,2.62,92,6,0.1
"Kyrgyzstan",2021,2695,5802.4,-0.47,39,76,91,98,10.7,0.1,6.2,0.1,26,1,NA,NA,1795,2314,0.23,2.59,93,NA,NA
"Kyrgyzstan",2022,2691,5991.5,-0.55,22,76,91,98,10.3,0.1,6.4,0.1,26.6,1.1,NA,NA,1798,2318,0.23,2.59,93,NA,NA
"Lao People's Democratic Republic",2017,2724,7453.9,0.39,59,17,82,74,33.5,0.3,2.9,0.1,6.2,0.3,38.2,0.7,1813,2345,0.23,3.91,58,16.9,0.1
"Lao People's Democratic Republic",2018,2739,7800.3,0.41,42,17,83,77,32.2,0.3,3.1,0.1,6.5,0.3,38.8,0.7,1816,2349,0.23,3.94,60,16.9,0.1
"Lao People's Democratic Republic",2019,2725,8103.9,0.53,17,18,85,79,30.9,0.2,3.3,0.1,6.9,0.3,39.5,0.8,1817,2351,0.23,3.72,61,16.8,0.1
"Lao People's Democratic Republic",2020,2728,8025.2,0.69,22,18,85,79,29.7,0.2,3.5,0.1,7.2,0.3,NA,NA,1820,2354,0.23,3.83,61,16.7,0.1
"Lao People's Democratic Republic",2021,2718,8111.1,0.71,25,18,85,79,28.7,0.2,3.7,0.1,7.6,0.4,NA,NA,1823,2358,0.22,3.77,61,NA,NA
"Lao People's Democratic Republic",2022,2726,8215.1,0.8,34,18,86,80,27.7,0.2,4,0.1,8,0.4,NA,NA,1825,2361,0.21,3.77,61,NA,NA
"Latvia",2017,3207,33126.8,0.45,33,96,99,92,2.1,0.1,7.4,0.1,23,0.4,21.3,0.1,1896,2455,0.22,2.16,81,4.3,0.1
"Latvia",2018,3248,34718.2,0.4,37,96,99,92,2,0.1,7.1,0.1,23.2,0.4,21.4,0.1,1895,2454,0.22,2.08,82,4.3,0.1
"Latvia",2019,3266,35165.8,0.43,19,96,99,92,2,0.1,6.8,0.1,23.5,0.4,21.6,0.1,1894,2453,0.22,2.04,84,4.3,0.1
"Latvia",2020,3242,34168.9,0.46,14,96,99,92,1.9,0.1,6.6,0.1,23.7,0.4,NA,NA,1894,2453,0.22,1.93,85,4.2,0.1
"Latvia",2021,3280,36777.9,0.67,16,97,99,92,1.8,0.1,6.5,0.1,24,0.4,NA,NA,1895,2453,0.22,1.84,85,NA,NA
"Latvia",2022,3341,38116.4,0.48,17,97,99,NA,1.8,0.1,6.4,0.1,24.3,0.4,NA,NA,1895,2452,0.22,1.84,NA,NA,NA
"Lebanon",2017,2926,16262.9,-1.62,76,47,92,97,8.7,0.1,8.2,0.1,28.1,1.2,27.5,0.5,1838,2378,0.26,3.12,25,12.5,0.1
"Lebanon",2018,2924,16381.2,-1.62,51,48,92,98,8.4,0.1,8.1,0.1,28.4,1.1,27.9,0.5,1831,2368,0.26,3.07,26,12.5,0.1
"Lebanon",2019,2889,15693.9,-1.67,29,48,93,99,8.2,0.1,8.1,0.1,28.7,1.1,28.3,0.5,1827,2362,0.26,3.17,26,12.6,0.1
"Lebanon",2020,2896,12594.6,-1.62,18,48,93,99,7.9,0.1,8.1,0.1,29.1,1.1,NA,NA,1825,2360,0.31,2.93,26,12.6,0.1
"Lebanon",2021,2915,11860.1,-1.48,16,48,93,99,7.6,0.1,8.2,0.1,29.4,1.1,NA,NA,1829,2365,0.32,2.91,26,NA,NA
"Lebanon",2022,2934,NA,-1.47,20,48,93,99,7.4,0.1,8.3,0.1,29.8,1.1,NA,NA,1831,2369,0.31,2.91,26,NA,NA
