"country","unit","year","total population - both sexes (1000 no)","total population - male (1000 no)","total population - female (1000 no)","rural population (1000 no)","urban population (1000 no)"
"Czechoslovakia","1000 No",2018,NA,NA,NA,NA,NA
"Czechoslovakia","1000 No",2019,NA,NA,NA,NA,NA
"Czechoslovakia","1000 No",2020,NA,NA,NA,NA,NA
"Czechoslovakia","1000 No",2021,NA,NA,NA,NA,NA
"Czechoslovakia","1000 No",2022,NA,NA,NA,NA,NA
"Democratic People's Republic of Korea","1000 No",2017,25817.709,12706.103,13111.606,9768.556,15722.409
"Democratic People's Republic of Korea","1000 No",2018,25931.147,12771.188,13159.96,9757.856,15852.816
"Democratic People's Republic of Korea","1000 No",2019,26037.632,12830.805,13206.827,9742.025,15985.383
"Democratic People's Republic of Korea","1000 No",2020,26136.312,12885.558,13250.754,9720.959,16119.904
"Democratic People's Republic of Korea","1000 No",2021,26232.534,12942.57,13289.963,9694.574,16256.188
"Democratic People's Republic of Korea","1000 No",2022,26328.845,13002.441,13326.404,9662.808,16394.046
"Democratic Republic of the Congo","1000 No",2017,87083.398,43187.408,43895.99,45647.604,35692.384
"Democratic Republic of the Congo","1000 No",2018,90047.644,44662.433,45385.21,46656.05,37348.939
"Democratic Republic of the Congo","1000 No",2019,92947.442,46104.7,46842.742,47659.965,39067.608
"Democratic Republic of the Congo","1000 No",2020,95989.998,47616.599,48373.399,48656.754,40848.447
"Democratic Republic of the Congo","1000 No",2021,99148.932,49185.125,49963.807,49644.313,42691.732
"Democratic Republic of the Congo","1000 No",2022,102396.968,50798.301,51598.667,50621.756,44598.623
"Denmark","1000 No",2017,5765.168,2868.316,2896.852,701.971,5031.58
"Denmark","1000 No",2018,5793.824,2882.749,2911.075,697.769,5056.587
"Denmark","1000 No",2019,5814.618,2892.966,2921.652,693.384,5081.84
"Denmark","1000 No",2020,5831.53,2900.837,2930.693,688.897,5107.903
"Denmark","1000 No",2021,5856.776,2913.831,2942.945,684.329,5134.933
"Denmark","1000 No",2022,5902.904,2935.843,2967.061,679.66,5162.762
"Djibouti","1000 No",2017,1054.841,523.678,531.163,213.906,743.079
"Djibouti","1000 No",2018,1071.882,532.032,539.851,215.875,755.533
"Djibouti","1000 No",2019,1088.709,540.277,548.433,217.689,768.001
"Djibouti","1000 No",2020,1105.188,548.317,556.871,219.361,780.538
"Djibouti","1000 No",2021,1121.248,556.13,565.119,220.887,793.138
"Djibouti","1000 No",2022,1137.096,563.858,573.238,222.257,805.774
"Dominica","1000 No",2017,68.496,34.343,34.154,22.044,51.881
"Dominica","1000 No",2018,68.174,34.194,33.98,21.933,52.375
"Dominica","1000 No",2019,67.88,34.052,33.828,21.816,52.863
"Dominica","1000 No",2020,67.573,33.9,33.673,21.697,53.355
"Dominica","1000 No",2021,67.202,33.711,33.492,21.568,53.833
"Dominica","1000 No",2022,66.826,33.498,33.328,21.436,54.312
"Dominican Republic","1000 No",2017,10666.843,5315.838,5351.005,2123.575,8643.423
"Dominican Republic","1000 No",2018,10782.053,5371.949,5410.105,2059.693,8823.303
"Dominican Republic","1000 No",2019,10894.043,5426.421,5467.623,1998.33,8998.444
"Dominican Republic","1000 No",2020,11008.3,5480.943,5527.357,1939.482,9168.876
"Dominican Republic","1000 No",2021,11123.476,5535.229,5588.247,1883.112,9334.544
"Dominican Republic","1000 No",2022,11230.734,5586.214,5644.52,1829.181,9495.433
"Ecuador","1000 No",2017,16759.519,8372.918,8386.602,6039.811,10585.047
"Ecuador","1000 No",2018,17049.547,8517.638,8531.909,6101.055,10762.37
"Ecuador","1000 No",2019,17340.021,8661.859,8678.163,6158.51,10941.934
"Ecuador","1000 No",2020,17546.065,8760.001,8786.064,6212.001,11123.641
"Ecuador","1000 No",2021,17682.454,8821.568,8860.886,6261.381,11307.417
"Ecuador","1000 No",2022,17823.897,8888.825,8935.073,6306.539,11493.241
"Egypt","1000 No",2017,103696.057,52358.181,51337.876,55893.406,41659.745
"Egypt","1000 No",2018,105682.093,53361.197,52320.897,56938.212,42437.529
"Egypt","1000 No",2019,107553.158,54305.284,53247.874,57939.247,43229.498
"Egypt","1000 No",2020,109315.124,55193.553,54121.57,58900.432,44041.052
"Egypt","1000 No",2021,110957.008,56026.137,54930.87,59819.36,44872.827
"Egypt","1000 No",2022,112618.25,56867.199,55751.05,60691.93,45724.131
"El Salvador","1000 No",2017,6213.533,2956.724,3256.809,1832.049,4545.804
"El Salvador","1000 No",2018,6219.807,2958.14,3261.668,1793.751,4617.807
"El Salvador","1000 No",2019,6222.318,2958.028,3264.289,1756.617,4688.788
"El Salvador","1000 No",2020,6234.673,2962.869,3271.804,1720.558,4758.508
"El Salvador","1000 No",2021,6255.782,2972.125,3283.657,1685.522,4826.802
"El Salvador","1000 No",2022,6280.319,2983.4,3296.919,1651.512,4893.661
"Equatorial Guinea","1000 No",2017,1562.396,826.744,735.652,359.435,908.254
"Equatorial Guinea","1000 No",2018,1616.422,855.95,760.472,366.013,947.881
"Equatorial Guinea","1000 No",2019,1670.177,884.853,785.324,372.296,987.808
"Equatorial Guinea","1000 No",2020,1716.468,908.72,807.749,378.29,1027.99
"Equatorial Guinea","1000 No",2021,1758.786,929.916,828.87,383.99,1068.36
"Equatorial Guinea","1000 No",2022,1803.545,952.683,850.861,389.404,1108.883
"Eritrea","1000 No",2017,3150.347,1551.427,1598.92,3069.11,1999.721
"Eritrea","1000 No",2018,3192.76,1572.793,1619.967,3108.634,2079.314
"Eritrea","1000 No",2019,3240.194,1596.682,1643.512,3148.013,2161.646
"Eritrea","1000 No",2020,3291.271,1622.323,1668.947,3186.178,2246.038
"Eritrea","1000 No",2021,3350.183,1651.92,1698.263,3222.842,2332.299
"Eritrea","1000 No",2022,3409.447,1681.805,1727.642,3258.219,2420.579
"Estonia","1000 No",2017,1317.425,619.361,698.064,409.687,899.945
"Estonia","1000 No",2018,1321.965,623.413,698.552,406.671,900.117
"Estonia","1000 No",2019,1326.822,627.486,699.336,403.516,900.282
"Estonia","1000 No",2020,1329.669,630.001,699.668,400.194,900.365
"Estonia","1000 No",2021,1331.749,631.558,700.192,396.696,900.342
"Estonia","1000 No",2022,1350.091,640.73,709.362,393.027,900.206
"Eswatini","1000 No",2017,1158.195,565.95,592.245,1044.238,323.016
"Eswatini","1000 No",2018,1168.929,572.024,596.905,1060.246,331.139
"Eswatini","1000 No",2019,1179.874,578.194,601.679,1075.98,339.434
"Eswatini","1000 No",2020,1192.729,585.072,607.658,1091.4,347.895
"Eswatini","1000 No",2021,1206.593,592.169,614.424,1106.443,356.511
"Eswatini","1000 No",2022,1218.917,598.334,620.582,1121.095,365.285
"Ethiopia","1000 No",2017,109666.481,55012.166,54654.315,83640.582,21316.856
"Ethiopia","1000 No",2018,112664.152,56508.48,56155.672,85207.113,22327.769
"Ethiopia","1000 No",2019,115737.383,58042.248,57695.135,86759.295,23376.34
"Ethiopia","1000 No",2020,118917.671,59626.569,59291.103,88295.647,24463.423
"Ethiopia","1000 No",2021,122138.588,61227.789,60910.8,89813.744,25589.582
"Ethiopia","1000 No",2022,125384.287,62841.232,62543.054,91310.183,26755.042
"Ethiopia PDR","1000 No",2017,NA,NA,NA,NA,NA
"Ethiopia PDR","1000 No",2018,NA,NA,NA,NA,NA
"Ethiopia PDR","1000 No",2019,NA,NA,NA,NA,NA
"Ethiopia PDR","1000 No",2020,NA,NA,NA,NA,NA
"Ethiopia PDR","1000 No",2021,NA,NA,NA,NA,NA
"Ethiopia PDR","1000 No",2022,NA,NA,NA,NA,NA
"Falkland Islands (Malvinas)","1000 No",2017,3.518,1.754,1.764,0.663,2.247
"Falkland Islands (Malvinas)","1000 No",2018,3.521,1.751,1.771,0.653,2.269
"Falkland Islands (Malvinas)","1000 No",2019,3.517,1.743,1.774,0.64,2.281
"Falkland Islands (Malvinas)","1000 No",2020,3.506,1.732,1.774,0.629,2.296
"Falkland Islands (Malvinas)","1000 No",2021,3.498,1.726,1.772,0.617,2.309
"Falkland Islands (Malvinas)","1000 No",2022,3.49,1.723,1.767,0.606,2.322
"Faroe Islands","1000 No",2017,50.243,25.918,24.325,28.63,20.66
"Faroe Islands","1000 No",2018,51.034,26.348,24.686,28.672,20.817
"Faroe Islands","1000 No",2019,51.842,26.797,25.044,28.709,20.983
"Faroe Islands","1000 No",2020,52.587,27.2,25.387,28.741,21.155
"Faroe Islands","1000 No",2021,53.3,27.588,25.712,28.768,21.335
"Faroe Islands","1000 No",2022,54.011,27.959,26.052,28.785,21.519
"Fiji","1000 No",2017,918.759,458.613,460.145,400.76,504.742
"Fiji","1000 No",2018,917.18,457.086,460.094,399.125,513.116
"Fiji","1000 No",2019,914.899,455.233,459.666,397.364,521.393
"Fiji","1000 No",2020,914.963,454.673,460.289,395.426,529.489
"Fiji","1000 No",2021,916.711,455.108,461.603,393.292,537.363
"Fiji","1000 No",2022,919.422,456.267,463.155,390.987,545.034
"Finland","1000 No",2017,5508.396,2715.842,2792.554,810.547,4712.684
"Finland","1000 No",2018,5515.736,2721.322,2794.415,810.217,4732.3
"Finland","1000 No",2019,5521.759,2725.858,2795.901,809.403,4751.986
"Finland","1000 No",2020,5529.612,2731.082,2798.53,808.148,4771.979
"Finland","1000 No",2021,5541.075,2738.515,2802.561,806.458,4792.312
"Finland","1000 No",2022,5569.299,2753.008,2816.291,804.314,4812.849
"France","1000 No",2017,65284.776,31605.558,33679.217,12879.012,52100.536
"France","1000 No",2018,65519.543,31721.037,33798.505,12756.906,52476.365
"France","1000 No",2019,65729.459,31832.377,33897.082,12631.632,52849.078
"France","1000 No",2020,65905.277,31923.744,33981.533,12503.199,53217.966
"France","1000 No",2021,66083.548,32016.483,34067.065,12371.78,53582.961
"France","1000 No",2022,66277.409,32116.982,34160.427,12237.703,53944.675
"French Guiana","1000 No",2017,276.144,135.482,140.662,42.29,240.441
"French Guiana","1000 No",2018,280.962,137.288,143.673,42.568,247.195
"French Guiana","1000 No",2019,285.568,138.555,147.013,42.839,254.008
"French Guiana","1000 No",2020,289.055,139.68,149.375,43.105,260.877
"French Guiana","1000 No",2021,293.015,141.571,151.445,43.371,267.83
"French Guiana","1000 No",2022,298.306,143.732,154.575,43.633,274.839
"French Polynesia","1000 No",2017,280.087,140.81,139.276,108.155,174.852
"French Polynesia","1000 No",2018,279.815,141.165,138.65,109.102,176.757
"French Polynesia","1000 No",2019,279.034,141.345,137.688,109.928,178.578
"French Polynesia","1000 No",2020,279.209,141.529,137.68,110.556,180.188
"French Polynesia","1000 No",2021,279.792,141.708,138.084,110.953,181.535
"French Polynesia","1000 No",2022,280.378,141.936,138.442,111.157,182.677
"Gabon","1000 No",2017,2156.9,1100.239,1056.66,223.245,1801.892
"Gabon","1000 No",2018,2212.318,1128.01,1084.307,219.785,1847.776
"Gabon","1000 No",2019,2267.706,1155.6,1112.105,216.365,1892.734
"Gabon","1000 No",2020,2322.539,1182.718,1139.821,213.15,1938.139
"Gabon","1000 No",2021,2376.722,1209.288,1167.434,210.171,1984.317
"Gabon","1000 No",2022,2430.747,1235.742,1195.005,207.381,2030.901
"Gambia","1000 No",2017,2342.189,1164.889,1177.301,827.654,1272.914
"Gambia","1000 No",2018,2399.632,1193.734,1205.899,838.035,1325.73
"Gambia","1000 No",2019,2456.844,1222.459,1234.384,848.212,1379.863
"Gambia","1000 No",2020,2515.733,1251.981,1263.753,858.185,1435.308
"Gambia","1000 No",2021,2576.01,1282.181,1293.829,867.935,1492.019
"Gambia","1000 No",2022,2636.47,1312.497,1323.973,877.453,1549.97
"Georgia","1000 No",2017,3792.859,1766.916,2025.943,1634.019,2278.042
"Georgia","1000 No",2018,3794.877,1767.621,2027.255,1616.295,2290.836
"Georgia","1000 No",2019,3796.722,1768.266,2028.457,1599.187,2305.017
"Georgia","1000 No",2020,3795.678,1767.457,2028.222,1580.751,2317.778
"Georgia","1000 No",2021,3788.451,1764.339,2024.112,1560.475,2328.245
"Georgia","1000 No",2022,3794.784,1768.05,2026.734,1538.869,2337.041
"Germany","1000 No",2017,83104.007,41022.496,42081.511,18672.1,63442.124
"Germany","1000 No",2018,83368.505,41163.696,42204.81,18671.111,63622.346
"Germany","1000 No",2019,83559.186,41261.516,42297.67,18651.132,63787.507
"Germany","1000 No",2020,83628.708,41291.235,42337.474,18610.145,63930.305
"Germany","1000 No",2021,83697.083,41319.353,42377.729,18546.497,64044.372
"Germany","1000 No",2022,84086.227,41511.584,42574.644,18460.833,64130.933
"Ghana","1000 No",2017,30008.354,14996.562,15011.792,12857.864,15975.765
"Ghana","1000 No",2018,30637.585,15311.203,15326.381,12946.423,16517.22
"Ghana","1000 No",2019,31258.945,15621.43,15637.515,13029.799,17067.171
"Ghana","1000 No",2020,31887.809,15934.246,15953.564,13108.188,17625.567
"Ghana","1000 No",2021,32518.665,16247.587,16271.077,13181.751,18192.301
"Ghana","1000 No",2022,33149.152,16560.812,16588.34,13250.62,18767.205
"Gibraltar","1000 No",2017,34.245,17.092,17.152,0,34.571
"Gibraltar","1000 No",2018,34.854,17.385,17.469,0,34.733
"Gibraltar","1000 No",2019,35.494,17.69,17.804,0,34.879
"Gibraltar","1000 No",2020,36.173,18.015,18.158,0,35
"Gibraltar","1000 No",2021,36.858,18.345,18.514,0,35.124
"Gibraltar","1000 No",2022,37.609,18.714,18.895,0,35.233
"Greece","1000 No",2017,10753.533,5194.437,5559.096,2374.332,8785.441
"Greece","1000 No",2018,10730.844,5187.141,5543.703,2333.39,8808.771
"Greece","1000 No",2019,10718.576,5189.163,5529.413,2292.972,8831.631
"Greece","1000 No",2020,10699.369,5185.175,5514.194,2252.163,8850.409
"Greece","1000 No",2021,10579.561,5125.529,5454.032,2210.862,8864.457
"Greece","1000 No",2022,10412.48,5042.923,5369.557,2169.478,8875.185
"Greenland","1000 No",2017,56.071,29.614,26.457,7.583,48.897
"Greenland","1000 No",2018,56.074,29.608,26.466,7.458,49.107
"Greenland","1000 No",2019,56.084,29.601,26.483,7.338,49.335
"Greenland","1000 No",2020,56.08,29.584,26.495,7.22,49.552
"Greenland","1000 No",2021,56.041,29.55,26.491,7.106,49.777
"Greenland","1000 No",2022,55.99,29.506,26.485,6.995,49.999
"Grenada","1000 No",2017,115.438,58.306,57.132,68.831,38.994
"Grenada","1000 No",2018,115.691,58.36,57.331,69.042,39.297
"Grenada","1000 No",2019,115.981,58.429,57.553,69.217,39.608
"Grenada","1000 No",2020,116.341,58.55,57.791,69.37,39.938
"Grenada","1000 No",2021,116.688,58.68,58.008,69.485,40.276
"Grenada","1000 No",2022,116.913,58.735,58.178,69.552,40.618
"Guadeloupe","1000 No",2017,412.692,189.771,222.922,6.911,442.657
"Guadeloupe","1000 No",2018,415.18,190.363,224.816,6.855,442.318
"Guadeloupe","1000 No",2019,410.257,187.448,222.809,6.796,442.002
"Guadeloupe","1000 No",2020,407.394,185.794,221.6,6.733,441.694
"Guadeloupe","1000 No",2021,399.151,181.645,217.506,6.667,441.412
"Guadeloupe","1000 No",2022,384.697,174.624,210.074,6.598,441.171
"Guam","1000 No",2017,163.49,83.359,80.132,8.706,155.523
"Guam","1000 No",2018,162.679,82.877,79.802,8.651,157.067
"Guam","1000 No",2019,161.808,82.361,79.447,8.598,158.647
"Guam","1000 No",2020,162.158,82.45,79.708,8.542,160.185
"Guam","1000 No",2021,163.73,83.157,80.573,8.481,161.645
"Guam","1000 No",2022,165.18,83.817,81.362,8.417,163.047
"Guatemala","1000 No",2017,16567.357,8223.378,8343.979,8341.671,8571.832
"Guatemala","1000 No",2018,16845.685,8361.649,8484.035,8440.97,8804.376
"Guatemala","1000 No",2019,17103.803,8489.879,8613.923,8535.983,9041.859
"Guatemala","1000 No",2020,17357.325,8613.994,8743.332,8626.519,9284.293
"Guatemala","1000 No",2021,17598.65,8730.024,8868.626,8712.358,9531.638
"Guatemala","1000 No",2022,17847.877,8851.469,8996.407,8793.254,9783.81
"Guinea","1000 No",2017,12385.659,6089.984,6295.675,8165.321,4551.855
"Guinea","1000 No",2018,12704.774,6252.164,6452.609,8335.437,4717.171
"Guinea","1000 No",2019,13034.346,6420.519,6613.828,8507.787,4890.393
"Guinea","1000 No",2020,13371.183,6592.746,6778.437,8680.17,5070.656
"Guinea","1000 No",2021,13710.513,6766.588,6943.925,8851.793,5257.867
"Guinea","1000 No",2022,14055.137,6943.315,7111.823,9022.706,5452.425
"Guinea-Bissau","1000 No",2017,1877.072,924.392,952.679,1061.947,799.336
"Guinea-Bissau","1000 No",2018,1922.168,947.166,975.001,1080.274,826.994
"Guinea-Bissau","1000 No",2019,1967.696,970.157,997.539,1098.44,855.283
"Guinea-Bissau","1000 No",2020,2013.255,993.13,1020.125,1116.462,884.232
"Guinea-Bissau","1000 No",2021,2058.841,1016.116,1042.725,1134.311,913.828
"Guinea-Bissau","1000 No",2022,2105.529,1039.679,1065.85,1151.951,944.058
"Guyana","1000 No",2017,768.479,374.785,393.693,571.434,206.425
"Guyana","1000 No",2018,791.556,387.895,403.661,574.102,208.123
"Guyana","1000 No",2019,807.665,396.396,411.269,576.594,209.914
"Guyana","1000 No",2020,807.481,394.212,413.269,578.961,211.821
"Guyana","1000 No",2021,815.482,397.649,417.833,581.183,213.839
"Guyana","1000 No",2022,821.637,400.371,421.266,583.197,215.949
"Haiti","1000 No",2017,10817.754,5370.387,5447.367,5013.421,5967.808
"Haiti","1000 No",2018,10962.362,5440.296,5522.067,4969.937,6143.008
"Haiti","1000 No",2019,11105.163,5509.161,5596.002,4925.256,6317.6
"Haiti","1000 No",2020,11243.848,5575.373,5668.475,4879.66,6491.525
"Haiti","1000 No",2021,11374.586,5637.251,5737.335,4833.33,6664.621
"Haiti","1000 No",2022,11503.606,5698.315,5805.292,4786.368,6836.63
"Holy See","1000 No",2017,NA,NA,NA,0,0.792
"Holy See","1000 No",2018,NA,NA,NA,0,0.801
"Holy See","1000 No",2019,NA,NA,NA,0,0.799
"Holy See","1000 No",2020,NA,NA,NA,0,0.801
"Holy See","1000 No",2021,NA,NA,NA,0,0.8
"Holy See","1000 No",2022,NA,NA,NA,0,0.799
"Honduras","1000 No",2017,9588.137,4833.257,4754.88,4034.31,5230.757
"Honduras","1000 No",2018,9765.21,4921.872,4843.339,4040.365,5376.802
"Honduras","1000 No",2019,9943.633,5011.092,4932.542,4044.696,5523.992
"Honduras","1000 No",2020,10119.64,5098.597,5021.043,4047.211,5672.054
"Honduras","1000 No",2021,10289.877,5182.859,5107.017,4047.947,5820.871
"Honduras","1000 No",2022,10463.872,5269.396,5194.476,4046.965,5970.36
"Hungary","1000 No",2017,9785.604,4672.201,5113.404,2813.212,6908.347
"Hungary","1000 No",2018,9774.394,4673.175,5101.218,2775.785,6913.062
"Hungary","1000 No",2019,9770.346,4678.031,5092.315,2737.853,6917.508
"Hungary","1000 No",2020,9749.457,4672.074,5077.383,2699.487,6921.767
"Hungary","1000 No",2021,9707.85,4654.276,5053.574,2660.705,6925.778
"Hungary","1000 No",2022,9684.306,4645.135,5039.171,2621.507,6929.442
"Iceland","1000 No",2017,343.531,174.353,169.178,20.862,314.163
"Iceland","1000 No",2018,352.854,180.258,172.595,20.899,316.881
"Iceland","1000 No",2019,360.7,184.931,175.768,20.929,319.637
"Iceland","1000 No",2020,366.614,188.041,178.573,20.942,322.286
"Iceland","1000 No",2021,372.644,190.971,181.672,20.938,324.826
"Iceland","1000 No",2022,380.356,194.847,185.508,20.92,327.298
"India","1000 No",2017,1359657.4,702419.096,657238.304,889216.746,449963.381
"India","1000 No",2018,1374659.064,710050.159,664608.905,893272.09,460779.764
"India","1000 No",2019,1389030.312,717351.064,671679.248,896909.218,471828.295
"India","1000 No",2020,1402617.695,724175.468,678442.228,900099.113,483098.64
"India","1000 No",2021,1414203.896,729924.103,684279.793,902833.076,494589.933
"India","1000 No",2022,1425423.212,735531.456,689891.756,905110.427,506304.869
"Indonesia","1000 No",2017,267346.658,134322.386,133024.272,119696.518,144294.861
"Indonesia","1000 No",2018,269951.846,135637.608,134314.239,119191.974,147603.006
"Indonesia","1000 No",2019,272489.381,136916.976,135572.405,118636.092,150900.39
"Indonesia","1000 No",2020,274814.866,138073.249,136741.617,118034.441,154188.546
"Indonesia","1000 No",2021,276758.053,139031.455,137726.598,117389.239,157464.948
"Indonesia","1000 No",2022,278830.529,140070.494,138760.035,116700.813,160724.456
"Iran (Islamic Republic of)","1000 No",2017,85026.754,43317.276,41709.478,20782.6,60380.188
"Iran (Islamic Republic of)","1000 No",2018,86117.998,43861.795,42256.203,20586.68,61425.055
"Iran (Islamic Republic of)","1000 No",2019,87051.648,44325.041,42726.607,20381.311,62439.455
"Iran (Islamic Republic of)","1000 No",2020,87723.443,44652.495,43070.948,20166.625,63420.504
"Iran (Islamic Republic of)","1000 No",2021,88455.488,45006.116,43449.371,19942.766,64365.273
"Iran (Islamic Republic of)","1000 No",2022,89524.246,45529.147,43995.1,19710.145,65271.669
"Iraq","1000 No",2017,39337.353,19678.203,19659.15,11375.936,26898.682
"Iraq","1000 No",2018,40265.624,20151.959,20113.665,11615.946,27723.807
"Iraq","1000 No",2019,41192.171,20627.994,20564.177,11849.769,28562.53
"Iraq","1000 No",2020,42116.605,21099.578,21017.026,12080.19,29422.695
"Iraq","1000 No",2021,43071.211,21586.715,21484.495,12307.036,30305.174
"Iraq","1000 No",2022,44070.551,22099.524,21971.026,12528.765,31207.44
"Ireland","1000 No",2017,4810.261,2381.352,2428.908,1764.335,2997.322
"Ireland","1000 No",2018,4872.556,2412.979,2459.577,1769.22,3034.528
"Ireland","1000 No",2019,4933.491,2443.395,2490.096,1773.798,3073.341
"Ireland","1000 No",2020,4982.606,2467.162,2515.444,1776.656,3111.336
"Ireland","1000 No",2021,5028.426,2489.622,2538.803,1777.637,3148.202
"Ireland","1000 No",2022,5110.016,2530.072,2579.943,1777.259,3184.815
"Isle of Man","1000 No",2017,83.609,41.447,42.162,40.072,44.215
"Isle of Man","1000 No",2018,83.805,41.553,42.253,40.22,44.611
"Isle of Man","1000 No",2019,83.957,41.623,42.334,40.35,45.019
"Isle of Man","1000 No",2020,84.064,41.663,42.401,40.458,45.437
"Isle of Man","1000 No",2021,84.106,41.67,42.435,40.546,45.863
"Isle of Man","1000 No",2022,84.132,41.675,42.457,40.618,46.304
"Israel","1000 No",2017,8361.797,4148.075,4213.721,637.763,7683.807
"Israel","1000 No",2018,8510.067,4224.242,4285.825,640.922,7811.919
"Israel","1000 No",2019,8657.474,4300.117,4357.358,643.684,7940.232
"Israel","1000 No",2020,8800.376,4373.531,4426.845,645.956,8067.603
"Israel","1000 No",2021,8942.924,4446.561,4496.364,647.742,8193.994
"Israel","1000 No",2022,9103.151,4528.556,4574.595,649.092,8320.014
"Italy","1000 No",2017,60390.318,29393.679,30996.639,17722.588,41637.312
"Italy","1000 No",2018,60277.499,29379.159,30898.339,17527.87,41763.099
"Italy","1000 No",2019,60130.136,29326.484,30803.652,17329.18,41887.345
"Italy","1000 No",2020,59912.769,29229.606,30683.163,17125.372,42006.701
"Italy","1000 No",2021,59729.35,29153.42,30575.93,16916.734,42121.159
"Italy","1000 No",2022,59619.115,29109.539,30509.575,16704.459,42233.014
"Jamaica","1000 No",2017,2815.764,1395.853,1419.91,1289.697,1600.602
"Jamaica","1000 No",2018,2820.097,1397.648,1422.45,1284.862,1613.815
"Jamaica","1000 No",2019,2823.271,1398.755,1424.515,1279.22,1627.119
"Jamaica","1000 No",2020,2830.739,1401.936,1428.803,1272.725,1640.435
"Jamaica","1000 No",2021,2837.682,1404.823,1432.859,1265.382,1653.746
"Jamaica","1000 No",2022,2839.144,1404.988,1434.156,1257.194,1667.032
"Japan","1000 No",2017,127064.69,62094.983,64969.707,10791.174,116693.276
"Japan","1000 No",2018,126913.432,62016.416,64897.017,10663.807,116521.525
"Japan","1000 No",2019,126699.424,61908.356,64791.067,10531.932,116322.813
"Japan","1000 No",2020,126304.543,61704.209,64600.334,10395.975,116099.672
"Japan","1000 No",2021,125679.338,61379.113,64300.226,10256.23,115853.245
"Japan","1000 No",2022,124997.578,61026.469,63971.109,10112.92,115583.843
"Jordan","1000 No",2017,10234.226,5302.586,4931.641,897.788,8804.565
"Jordan","1000 No",2018,10462.306,5417.196,5045.11,893.429,9010.373
"Jordan","1000 No",2019,10671.891,5522.154,5149.737,885.864,9183.93
"Jordan","1000 No",2020,10865.228,5618.292,5246.935,876.059,9332.603
"Jordan","1000 No",2021,11066.356,5718.054,5348.302,864.189,9456.165
"Jordan","1000 No",2022,11256.263,5812.291,5443.973,850.463,9554.911
"Kazakhstan","1000 No",2017,18651.931,8954.451,9697.48,7766.771,10437.728
"Kazakhstan","1000 No",2018,18932.727,9111.411,9821.316,7834.88,10568.98
"Kazakhstan","1000 No",2019,19209.555,9283.243,9926.312,7894.648,10698.322
"Kazakhstan","1000 No",2020,19482.117,9452.899,10029.218,7948.258,10828.881
"Kazakhstan","1000 No",2021,19743.603,9601.078,10142.525,7995.847,10961.021
"Kazakhstan","1000 No",2022,20034.609,9748.452,10286.156,8036.502,11093.646
"Kenya","1000 No",2017,49197.766,24499.409,24698.357,36498.515,13201.347
"Kenya","1000 No",2018,50207.108,24995.719,25211.388,37179.074,13771.805
"Kenya","1000 No",2019,51202.827,25485.39,25717.438,37851.953,14362.838
"Kenya","1000 No",2020,52217.334,25983.598,26233.736,38516.638,14975.059
"Kenya","1000 No",2021,53219.166,26473.1,26746.066,39172.008,15608.844
"Kenya","1000 No",2022,54252.461,26980.543,27271.918,39817.146,16264.626
"Kiribati","1000 No",2017,120.275,57.987,62.288,54.402,61.996
"Kiribati","1000 No",2018,122.084,58.859,63.224,54.403,64.011
"Kiribati","1000 No",2019,123.921,59.751,64.169,54.392,66.036
"Kiribati","1000 No",2020,126.099,60.859,65.24,54.37,68.069
"Kiribati","1000 No",2021,128.377,62.041,66.337,54.333,70.1
"Kiribati","1000 No",2022,130.469,63.132,67.337,54.284,72.129
"Kuwait","1000 No",2017,4154.685,2521.516,1633.168,0,4136.528
"Kuwait","1000 No",2018,4323.387,2662.068,1661.319,0,4197.128
"Kuwait","1000 No",2019,4442.194,2740.012,1702.181,0,4248.974
"Kuwait","1000 No",2020,4400.144,2681.47,1718.674,0,4302.875
"Kuwait","1000 No",2021,4360.742,2645.3,1715.441,0,4361.47
"Kuwait","1000 No",2022,4589.511,2802.1,1787.41,0,4422.07
"Kyrgyzstan","1000 No",2017,6220.15,3086.599,3133.551,3860.7,2184.417
"Kyrgyzstan","1000 No",2018,6341.732,3142.59,3199.142,3903.563,2229.369
"Kyrgyzstan","1000 No",2019,6494.035,3215.903,3278.131,3943.164,2275.452
"Kyrgyzstan","1000 No",2020,6664.14,3298.41,3365.729,3979.161,2322.557
"Kyrgyzstan","1000 No",2021,6820.479,3373.86,3446.619,4011.291,2370.607
"Kyrgyzstan","1000 No",2022,6955.788,3439.564,3516.224,4039.447,2419.608
"Lao People's Democratic Republic","1000 No",2017,7018.147,3530.142,3488.005,4501.174,2356.986
"Lao People's Democratic Republic","1000 No",2018,7128.045,3585.087,3542.958,4524.499,2436.711
"Lao People's Democratic Republic","1000 No",2019,7237.636,3639.811,3597.824,4546.186,2518.056
"Lao People's Democratic Republic","1000 No",2020,7346.533,3693.722,3652.811,4564.691,2600.131
"Lao People's Democratic Republic","1000 No",2021,7453.194,3746.468,3706.725,4579.664,2682.637
"Lao People's Democratic Republic","1000 No",2022,7559.007,3799.149,3759.858,4591.514,2765.699
"Latvia","1000 No",2017,1942.594,892.736,1049.858,622.436,1327.234
"Latvia","1000 No",2018,1927.588,887.388,1040.2,614.843,1315.095
"Latvia","1000 No",2019,1914.263,883.052,1031.211,607.314,1303.794
"Latvia","1000 No",2020,1901.123,878.254,1022.87,599.796,1293.197
"Latvia","1000 No",2021,1885.587,871.887,1013.7,592.276,1283.253
