"country","year","energy_supply","protein_supply","fat_supply","carbohydrate_supply","dietary_fibre_supply","calcium_supply","iron_supply","zinc_supply","magnesium_supply","phosphorus_supply","potassium_supply","thiamin_supply","riboflavin_supply","vitamin_c_supply","vitamin_a_supply_retinol_equivalents","vitamin_a_supply_retinol_activity_equivalents","copper_supply","docosahexaenoic_acid_supply","vitamin_b6_supply","eicosapentaenoic_acid_supply","selenium_supply","vitamin_b12_supply","total_saturated_fatty_acids_supply","total_monounsaturated_fatty_acids_supply","total_polyunsaturated_fatty_acids_supply"
"Bahrain",2022,3505,107,127.8,456.2,34.5,709,19.8,14.7,451,1673,3745,1.6,1.84,194,1364,1084,0.03,0.12,0.08,0.07,11,1.13,0.34,0.49,0.33
"Bangladesh",2017,2488,61.2,34,461.2,21.2,350,11.3,9.63,292,1070,2104,1.22,0.62,84,397,265,0.06,0.18,0.11,0.11,12,1.85,0.57,0.9,0.53
"Bangladesh",2018,2558,63.1,34.7,474.5,21.7,356,11.5,9.92,297,1097,2143,1.25,0.63,84,395,264,0.06,0.19,0.11,0.12,12,1.9,0.59,0.92,0.54
"Bangladesh",2019,2507,62.4,34.8,462.3,22.1,370,11.8,9.82,297,1086,2180,1.23,0.64,87,427,280,0.06,0.19,0.11,0.12,12,1.93,0.6,0.94,0.55
"Bangladesh",2020,2571,64.8,35.1,474.1,24.4,382,13.3,10.22,312,1123,2276,1.29,0.67,90,435,286,0.06,0.19,0.11,0.12,12,1.93,0.6,0.94,0.55
"Bangladesh",2021,2568,67,41.8,457,24.7,533,13.1,10.37,322,1214,2517,1.29,0.91,93,561,373,0.06,0.19,0.11,0.12,12,1.93,0.6,0.94,0.55
"Bangladesh",2022,2583,66.8,42.8,458.2,24.7,553,13.2,10.45,325,1227,2565,1.29,0.96,95,670,430,0.06,0.19,0.11,0.12,12,1.93,0.6,0.94,0.55
"Barbados",2017,3043,103.8,94.1,416.6,29.7,1055,18,12.45,449,1915,3536,1.95,2.04,116,950,683,0.08,0.38,0.2,0.24,29,3.39,1.02,1.55,1.38
"Barbados",2018,3089,106,94.4,425.1,29.7,1113,18.1,12.67,456,1979,3571,2.06,2.15,119,962,680,0.08,0.37,0.2,0.23,29,3.35,0.99,1.51,1.34
"Barbados",2019,3136,107.1,94,433.3,30.7,1135,18.9,12.78,464,2012,3553,2.14,2.15,116,959,683,0.09,0.36,0.19,0.22,28,3.24,0.96,1.46,1.32
"Barbados",2020,3201,109.4,108.2,417.4,31,1025,18.8,13.15,466,1944,3573,1.98,2.08,121,1014,737,0.08,0.4,0.21,0.25,30,3.41,1.09,1.66,1.56
"Barbados",2021,3190,109.5,106.7,418.1,30.1,1085,19.1,13.07,464,1980,3594,2.03,2.16,121,953,689,0.09,0.39,0.21,0.24,30,3.33,1.07,1.61,1.56
"Barbados",2022,3198,110.7,107,415.7,31.1,1086,19.3,13.3,470,1963,3703,1.98,2.17,133,1073,763,0.09,0.39,0.21,0.24,30,3.33,1.07,1.61,1.56
"Belarus",2017,3242,99,131.7,360,38.3,999,18.4,13.33,472,1823,5203,2.03,2.09,229,1664,1215,0.02,0.08,0.05,0.04,7,0.64,0.2,0.27,0.19
"Belarus",2018,3242,99.8,129.9,363.4,37.5,966,18.2,13.37,467,1824,5080,2.04,2.11,204,1580,1176,0.02,0.08,0.04,0.04,6,0.57,0.2,0.27,0.19
"Belarus",2019,3291,109.9,131.6,363.9,37.6,1197,19.1,14.62,501,2023,5516,2.16,2.49,217,1800,1325,0.02,0.08,0.05,0.05,7,0.62,0.22,0.29,0.2
